#: table_doi: 10.17182/hepdata.89413.v1/t15
#: name: SR kinematics 1
#: description: Distributions of $m_{T2}$ in SRSF-0J for data and the estimated SM backgrounds. The normalisation factors extracted from the corresponding CRs are used to rescale the $t\bar t$, single top, WW, WZ and ZZ backgrounds. The fake and non-prompt leptons background (FNP) is calculated using the data-driven matrix method. The uncertainty band includes all sources of systematic and statistical errors and the last bin includes the overflow. Distributions for three benchmark signal points are overlaid for comparison.
#: data_file: Fig_6a_Kinem_MT2_SRSF_0J.yaml
#: data_license:   
#: keyword reactions: pp --> CHARGINO1 CHARGINO1 | pp --> SLEPTON SLEPTON | CHARGINO1 --> W NEUTRALINO1 | CHARGINO1 --> SLEPTON NU | CHARGINO1 -->SNU LEPTON | SLEPTON --> LEPTON NEUTRALINO1
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,Data
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat +,stat -
150.0,140.0,160.0,0.2,0.1,-0.1
170.0,160.0,180.0,0.2,0.1,-0.1
190.0,180.0,200.0,0.3,0.1,-0.1
210.0,200.0,220.0,0.7,0.1,-0.1
230.0,220.0,240.0,0.9,0.2,-0.2
250.0,240.0,260.0,0.1,0.03,-0.03
270.0,260.0,280.0,0.1,0.04,-0.04

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,m($\tilde{\chi}^{\pm}_1$,$\tilde{l}^{\pm}$,$\tilde{\chi}^{0}_1$)=(600,300,1)GeV
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,4.0,0.1,-0.1
130.0,120.0,140.0,4.0,0.1,-0.1
150.0,140.0,160.0,3.9,0.1,-0.1
170.0,160.0,180.0,4.5,0.2,-0.2
190.0,180.0,200.0,4.2,0.2,-0.2
210.0,200.0,220.0,3.0,0.1,-0.1
230.0,220.0,240.0,3.3,0.2,-0.2
250.0,240.0,260.0,5.4,0.3,-0.3
270.0,260.0,280.0,22.5,0.5,-0.5

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,m($\tilde{\chi}^{\pm}_1$,$\tilde{\chi}^{0}_1$)=(300,50)GeV
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,7.4,0.2,-0.2
130.0,120.0,140.0,5.9,0.1,-0.1
150.0,140.0,160.0,4.3,0.1,-0.1
170.0,160.0,180.0,3.1,0.1,-0.1
190.0,180.0,200.0,2.4,0.1,-0.1
210.0,200.0,220.0,1.41,0.05,-0.05
230.0,220.0,240.0,0.72,0.03,-0.03
250.0,240.0,260.0,0.29,0.01,-0.01
270.0,260.0,280.0,0.0,0.0,-0.0

#: $\sqrt{s}$ [GeV],,,13000.0
#: .,,,m($\tilde{l}^{\pm}$,$\tilde{\chi}^{0}_1$)=(400,200)GeV
$m_{T2}$ [GeV],$m_{T2}$ [GeV] LOW,$m_{T2}$ [GeV] HIGH,N,stat+syst +,stat+syst -
110.0,100.0,120.0,8.0,0.3,-0.3
130.0,120.0,140.0,9.1,0.5,-0.5
150.0,140.0,160.0,9.4,0.5,-0.5
170.0,160.0,180.0,8.6,0.5,-0.5
190.0,180.0,200.0,9.9,0.6,-0.6
210.0,200.0,220.0,7.6,0.5,-0.5
230.0,220.0,240.0,8.4,0.6,-0.6
250.0,240.0,260.0,6.6,0.6,-0.6
270.0,260.0,280.0,7.4,0.3,-0.3

